1996	89286	3
1978	52942	3
2001	41389	2
1996	54679	2
2002	57472	3
1993	56359	2
2006	54355	2
2011	52378	1
2008	39371	2
1998	25213	3
2005	31468	2
1993	45637	3
1998	49744	3
1999	36232	2
2000	42293	2
2004	37176	1
2011	32968	3
2000	54405	2
1992	58109	3
1998	58474	2
2000	63329	2
1999	55789	2
1995	53378	2
2001	70231	3
2000	27070	2
2001	31061	3
2008	43328	3
2013	53919	1
2004	57231	2
2002	29822	1
2002	36754	1
1985	68717	1
1988	56963	3
1997	66316	2
1985	48666	2
1998	53907	2
1990	62500	3
1987	57378	2
2001	65327	3
1990	59220	1
1995	50186	3
2007	44445	1
2002	39904	1
2002	70354	2
1996	60000	3
1995	56799	2
2004	70064	2
1983	42115	3
2012	52764	3
1998	33334	1
2000	48310	2
2013	52090	1
2005	74958	1
2003	91047	2
1998	55956	1
2003	62336	2
1991	53276	2
2006	55438	3
2003	36414	3
1995	45233	2
2009	39996	1
1996	46127	2
1999	43683	2
2004	66988	2
2000	39982	3
2007	45036	1
1990	60000	2
1997	55385	3
2002	68818	1
2012	68377	3
1998	52174	3
2000	47668	3
2000	44340	3
1997	40141	2
2001	81819	1
2000	28974	3
2006	29376	1
2008	29907	2
2000	28261	2
2000	48929	2
2004	46233	3
1995	60562	2
1998	42746	2
2010	36513	3
1996	67568	3
2002	57595	2
1998	64926	3
2009	44944	2
1996	47069	3
2002	49463	1
2000	43215	2
1960	52516	2
1998	46227	3
1993	37927	2
2002	66667	2
1998	47360	3
2002	49265	3
1995	37038	3
1993	43681	1
2008	36185	2
2000	55091	2
2004	81500	1
2002	29799	2
1995	47500	1
1999	59639	1
2007	45623	1
2006	73283	3
1983	48470	1
2006	63381	3
1990	43388	2
1983	55173	3
2010	43479	1
1993	64517	3
1996	28736	3
2004	56145	2
2006	63214	2
2000	34468	3
2005	23373	1
2008	60870	3
2011	33522	1
2003	60811	3
2010	56702	2
2005	36982	3
2007	77059	1
2005	50633	2
1990	61718	3
2003	45293	3
2003	53847	3
1998	52817	2
1989	48415	2
2008	68220	3
2009	60000	1
1981	52852	3
1995	54839	3
2003	38667	2
1983	45814	3
1997	51121	2
1964	42858	2
2002	42683	1
2002	48329	1
2006	40078	1
1992	46449	2
2006	63381	2
1993	51613	1
1988	54394	1
2004	51064	3
2008	65450	3
1990	55556	2
2005	51220	2
1985	54546	2
1997	41876	1
2008	36598	1
2003	60423	1
2004	37163	2
1994	29904	3
2000	59294	2
1997	59838	2
2009	68519	2
2009	70176	1
2003	30646	2
2003	69789	1
1998	45193	2
1999	38419	3
2001	31709	3
2010	50000	3
1997	51994	1
1994	21250	1
2000	49724	3
2004	39801	1
1994	56717	1
2004	46901	1
2001	43926	1
2006	44399	2
2008	99072	3
2004	40135	2
2010	55556	2
1993	40658	1
1975	54795	3
2003	59986	2
2002	68033	2
2003	59982	2
1995	76191	1
1991	60551	2
1994	58824	3
2010	38384	2
2004	74419	3
2009	59577	2
1990	51852	3
1992	35965	2
2005	50848	2
2011	40218	3
1996	40817	2
1992	58028	3
2004	51479	2
2003	34189	1
2006	70090	1
1990	56434	2
1984	77109	3
2002	47573	2
2002	89148	1
2004	37874	3
2001	68333	2
1995	42436	1
2008	56553	2
2001	37594	1
2005	36886	1
1981	55124	2
2006	50545	3
2003	66667	2
2000	59293	3
2010	48276	3
2000	43234	1
2007	38373	2
2000	42373	3
1997	47858	2
2000	57828	2
1983	108696	1
1990	51402	1
2010	45688	3
2002	43848	3
2006	50000	1
2000	49937	2
1998	8000	1
1990	59575	3
1992	58728	1
2001	47917	1
2009	24158	2
1985	54136	3
1992	51904	1
1995	42445	2
2001	41654	2
2005	47436	3
2001	57114	1
2009	63587	2
2010	43637	2
2010	60000	2
2003	44574	1
1991	41911	2
2011	25000	3
2002	30436	3
1997	64185	2
1998	63617	3
1994	56471	3
2005	36894	3
1986	46517	1
1997	39562	3
1987	64854	3
1985	72640	3
1990	39286	2
2004	36047	2
1999	62500	2
2010	60000	2
2000	38552	3
2013	38032	3
2009	67376	1
2009	65450	1
2000	47938	1
2002	67242	2
1989	44495	3
1978	39656	2
2001	55912	1
1998	113637	1
2001	67275	3
2001	63086	1
2000	48276	2
2011	54946	1
2012	53436	3
2010	46621	1
2012	33172	3
1995	50000	3
1994	72581	1
1993	58236	1
2000	48750	2
1962	38082	3
1997	51214	3
1999	40817	2
2000	33577	3
2003	58851	1
1995	47815	3
2001	50533	3
1990	52632	2
2009	45567	3
2007	37800	1
2003	30082	3
2002	34199	2
2001	63124	3
2007	44987	3
2007	61865	2
1998	67361	1
